node,degree,pagerank,pagerank_norm,kcore,membership_infomap
V1,5,0.0101891832205655,0.33763048739845,3,1
V2,4,0.00934947403149213,0.296198954586878,3,2
V3,5,0.0109563457500076,0.375482543710302,3,3
V4,2,0.00537791323400697,0.100240813798006,2,4
V5,5,0.0108425205166455,0.369866368548482,3,5
V6,7,0.0133206947145755,0.492140314017181,3,6
V7,5,0.0101075451157593,0.333602435946867,3,7
V8,7,0.0137102268906421,0.511359962133302,3,1
V9,4,0.00841299950928995,0.249992987808505,3,7
V10,1,0.00354863710526532,0.00998371653673235,1,8
V11,2,0.00528693723100088,0.0957520273197112,2,2
V12,4,0.00844266912648963,0.251456896664703,3,9
V13,6,0.0120324485648633,0.42857781724365,3,1
V14,3,0.00677841575474712,0.169342077539995,3,7
V15,4,0.00855308811016384,0.256905006325343,3,10
V16,3,0.00741793115305061,0.200895981621423,3,8
V17,2,0.00532184454399268,0.0974743658416696,2,3
V18,4,0.00868499866951615,0.263413517532691,3,9
V19,4,0.00824466455397073,0.241687284696767,3,6
V20,4,0.00956732466968997,0.306947778086684,2,5
V21,5,0.0104638231277786,0.351181312463997,3,2
V22,5,0.0108288545231302,0.369192083848374,3,6
V23,2,0.00521592128922488,0.092248076951985,2,2
V24,3,0.00680429770494175,0.170619101636754,3,1
V25,5,0.0120508065015607,0.429483603992835,3,8
V26,5,0.0100973710080944,0.333100442064901,3,7
V27,9,0.0172363345586784,0.685339296224654,3,7
V28,2,0.00512817650759139,0.0879187200191355,2,11
V29,1,0.00346607444080574,0.0059100470019941,1,12
V30,2,0.00551572025760041,0.107040258527171,2,3
V31,5,0.010585763043685,0.357197868782132,3,1
V32,5,0.0103305750395665,0.34460680713444,3,4
V33,5,0.0105854519153567,0.357182517606142,3,7
V34,5,0.0114077879826089,0.397756854764574,3,9
V35,2,0.00537396176124125,0.100045846807437,2,5
V36,5,0.0103191868241074,0.344044908767008,3,10
V37,5,0.0104802827789628,0.351993437169763,3,5
V38,8,0.0153710865686244,0.593307335270511,3,10
V39,5,0.0107325755006764,0.36444164461326,3,6
V40,6,0.0127214576103929,0.462573754466665,3,4
V41,7,0.0134852044394673,0.500257278977628,3,4
V42,3,0.00761575983265813,0.210656914974164,2,4
V43,5,0.0108302791403193,0.369262374937935,3,5
V44,5,0.0101910501842935,0.337722604014486,3,7
V45,8,0.0159429379623126,0.621522674687097,3,10
V46,5,0.0103050418963361,0.343346993290196,3,1
V47,2,0.00554562182421216,0.108515611845096,2,4
V48,5,0.010752955931074,0.365447221879438,3,11
V49,6,0.0122527944653362,0.439449757820378,3,2
V50,8,0.0165615808132165,0.652046720284541,3,2
V51,5,0.0103407188129617,0.345107304313373,3,7
V52,6,0.0133258108585343,0.492392746274745,3,4
V53,4,0.00894793020534961,0.276386647630388,3,10
V54,6,0.0118961218626956,0.421851412069751,3,1
V55,3,0.00759932287093809,0.209845909774163,2,3
V56,5,0.0115033061413615,0.402469752729672,3,3
V57,6,0.0124538399540186,0.449369409610963,3,10
V58,3,0.00696577490226969,0.178586440670873,3,2
V59,4,0.00914624648690716,0.286171639426759,3,4
V60,10,0.0200019028100617,0.821793360608852,3,2
V61,2,0.00510238049411446,0.0866459360688298,2,4
V62,2,0.00517731196326227,0.090343079869343,2,5
V63,1,0.0033462931911474,0,1,10
V64,5,0.0108883111028442,0.37212569141792,3,6
V65,3,0.00712334527165333,0.186361015504874,3,10
V66,3,0.00673614828742001,0.167256586536428,3,2
V67,6,0.0124044996574331,0.446934942841378,3,10
V68,7,0.0143228483454035,0.541586910027044,3,4
V69,2,0.00536713996774165,0.0997092572298898,2,5
V70,6,0.0124457888576599,0.448972165818355,3,5
V71,4,0.00920589801327355,0.28911486572947,3,2
V72,4,0.00893864167841982,0.275928348598687,3,4
V73,6,0.0129464715912885,0.473676019695922,3,5
V74,2,0.0051825036620517,0.0905992400275749,2,7
V75,6,0.0131252414167324,0.482496582796787,3,7
V76,9,0.0173478093992195,0.690839502216967,3,7
V77,5,0.01045745194183,0.350866956014032,3,10
V78,3,0.0073182365007018,0.195977014062565,2,6
V79,7,0.0135381603554615,0.50287014162059,3,1
V80,4,0.00910275696724328,0.284025851951333,3,4
V81,5,0.0115651437694455,0.405520842023786,3,12
V82,7,0.0136996634773473,0.510838759781082,3,9
V83,2,0.00516110313004105,0.08954333060593,2,2
V84,4,0.0084477494807667,0.251707563047379,3,1
V85,1,0.00343932395704352,0.0045901691679281,1,9
V86,3,0.00717128750847707,0.188726501537265,3,11
V87,4,0.00866153414522949,0.262255770040415,3,7
V88,5,0.0107240850667526,0.364022723757949,3,7
V89,3,0.00668872096566011,0.164916506585858,3,5
V90,4,0.00879755575875896,0.268967122038657,3,11
V91,2,0.00546132354682453,0.10435630658681,2,6
V92,6,0.013032657819864,0.477928477098554,3,10
V93,8,0.0154906112550018,0.599204723354234,3,4
V94,4,0.00842021173700415,0.250348841541052,3,6
V95,4,0.0086882111327498,0.263572021545274,3,11
V96,9,0.0174131097206345,0.694061441960532,3,9
V97,12,0.0236136869391018,1,3,6
V98,10,0.0211785176389271,0.879847930599338,3,4
V99,4,0.00878250588217045,0.268224556083918,3,3
V100,3,0.00696018559861025,0.1783106625551,3,12
